bnf_id,expected_uri,threshold,matched_uris,is_correct,num_matches,false_positives,search_time_ms
OAI_11000434,0685NasirDinBaydawi.AnwarTanzil,0.7,0241IbnHanbal.JamicFiCilal|0273AbuUmayyaTarsusi.MusnadCabdAllahIbnCumar|0298HadiIlaHaqqYahya.JawabMasailTabari|0300Anonymous.RisalataHashimiWaKindi|0317AbuQasimBaghawi.HadithMuscab|0318IbnMuhammadHashimi.MusnadIbnAbiAwfa|0360AbuBakrAjurri.AkhbarAbiHafs|0365IbnMufassir.HadithCubaydAllahIbnCumar|0385Daraqutni.AkhbarCamrIbnCubayd|0385Daraqutni.FawaidMuntaqatDhuhli|0406SharifRadi.HaqaiqTawil|0420IbnCabdAllahKhatibIskafi.DurratTanzil|0463KhatibBaghdadi.JuzTuruqHadithIbnCumarFiTaraiHilal|0480IbnAhmadHakimHaskani.ShawahidTanzil|0538JarAllahZamakhshari.Kashshaf|0543IbnCarabiIshbili.QanunTawil|0596Nizami.MakhzanAsrar|0606FakhrDinRazi.MinAsrarTanzil|0620IbnQudamaMaqdisi.DhammTawil|0643IbnCumarMaqdisi.Juz|0649MuhammadIdrisi.Anwar|0685NasirDinBaydawi.AnwarTanzil|0708IbnIbrahimAbuJacfarGharnati.MalakTawilQatic|0741KhazinBaghdadi.LubabTawil|1014MullaCaliQari.Anwar|1016MuhibbDinHamawi.TanzilAyat|1357CallamaIqbal.AsrarKhudi|1375MuhammadHusaynHaykal.FaruqCumar|1378YusufKaram.TabicaWaMaBacdaTabica|1383CabbasMahmudCaqqad.Allah|1450HasanFarhanMaliki.FiCabdAllahIbnSaba|1450MurtadaCaskari.CabdAllahIbnSaba,True,32,31,914.2
OAI_11000434,0685NasirDinBaydawi.AnwarTanzil,0.75,0273AbuUmayyaTarsusi.MusnadCabdAllahIbnCumar|0298HadiIlaHaqqYahya.JawabMasailTabari|0360AbuBakrAjurri.AkhbarAbiHafs|0365IbnMufassir.HadithCubaydAllahIbnCumar|0385Daraqutni.FawaidMuntaqatDhuhli|0420IbnCabdAllahKhatibIskafi.DurratTanzil|0463KhatibBaghdadi.JuzTuruqHadithIbnCumarFiTaraiHilal|0606FakhrDinRazi.MinAsrarTanzil|0620IbnQudamaMaqdisi.DhammTawil|0643IbnCumarMaqdisi.Juz|0649MuhammadIdrisi.Anwar|0685NasirDinBaydawi.AnwarTanzil|1014MullaCaliQari.Anwar|1378YusufKaram.TabicaWaMaBacdaTabica|1383CabbasMahmudCaqqad.Allah|1450HasanFarhanMaliki.FiCabdAllahIbnSaba|1450MurtadaCaskari.CabdAllahIbnSaba,True,17,16,830.1
OAI_11000434,0685NasirDinBaydawi.AnwarTanzil,0.8,0273AbuUmayyaTarsusi.MusnadCabdAllahIbnCumar|0298HadiIlaHaqqYahya.JawabMasailTabari|0385Daraqutni.FawaidMuntaqatDhuhli|0606FakhrDinRazi.MinAsrarTanzil|0620IbnQudamaMaqdisi.DhammTawil|0649MuhammadIdrisi.Anwar|0685NasirDinBaydawi.AnwarTanzil|1014MullaCaliQari.Anwar|1378YusufKaram.TabicaWaMaBacdaTabica|1383CabbasMahmudCaqqad.Allah|1450HasanFarhanMaliki.FiCabdAllahIbnSaba|1450MurtadaCaskari.CabdAllahIbnSaba,True,12,11,901.6
OAI_11000434,0685NasirDinBaydawi.AnwarTanzil,0.85,0273AbuUmayyaTarsusi.MusnadCabdAllahIbnCumar|0385Daraqutni.FawaidMuntaqatDhuhli|0606FakhrDinRazi.MinAsrarTanzil|0649MuhammadIdrisi.Anwar|0685NasirDinBaydawi.AnwarTanzil|1014MullaCaliQari.Anwar|1378YusufKaram.TabicaWaMaBacdaTabica|1383CabbasMahmudCaqqad.Allah|1450MurtadaCaskari.CabdAllahIbnSaba,True,9,8,857.2
OAI_11000434,0685NasirDinBaydawi.AnwarTanzil,0.9,0385Daraqutni.FawaidMuntaqatDhuhli|0649MuhammadIdrisi.Anwar|0685NasirDinBaydawi.AnwarTanzil|1014MullaCaliQari.Anwar|1378YusufKaram.TabicaWaMaBacdaTabica|1383CabbasMahmudCaqqad.Allah,True,6,5,880.8
OAI_10030933,0660IbnCadim.BughyatTalab,0.7,0231AbuTamam.Wahshiyyat|0320HakimTirmidhi.Manhiyyat|0377IbnAhmadFarisi.Baghdadiyyat|0381IbnBabawayhSaduq.KamalDin|0385Daraqutni.FawaidMuntaqatDhuhli|0471IbnCaliBalkhi.Wakhshiyyat|0515CumarKhayyam.Rubaciyyat|0587AbuMacaliFurawi.Subaciyyat|0600CabdGhaniMaqdisi.Kamal|0607IbnTabarzad.JuzShurut|0617AbuBarakatIbnMulacib.Subaciyyat|0660IbnCadim.BughyatTalab|0707RashidDinBaghdadi.Subaciyyat|0843IbnKhatibNasiriyya.DurrMuntakhab|0902Sakhawi.Buldaniyyat|1299MuhammadCulayshMaliki.FathCali|1304AhmadFarisShidyaq.SaqCalaSaq|1331JurjiZaydan.AhmadIbnTulun|1359AminRihani.Rayhaniyyat|1377MuhammadCabdAllahDarraz.Din|1383CabbasMahmudCaqqad.AbuCala|1434CabdGhaffarMakkawi.Bakaiyyat|1450AhmadSamirDarwish.CharlesDarwin|1450LutfAllahSafiGulpaygani.MacaKhatib|1450ZahraSami.CharlesDarwin,True,25,24,1467.9
OAI_10030933,0660IbnCadim.BughyatTalab,0.75,0320HakimTirmidhi.Manhiyyat|0377IbnAhmadFarisi.Baghdadiyyat|0381IbnBabawayhSaduq.KamalDin|0385Daraqutni.FawaidMuntaqatDhuhli|0600CabdGhaniMaqdisi.Kamal|0660IbnCadim.BughyatTalab|0843IbnKhatibNasiriyya.DurrMuntakhab|1304AhmadFarisShidyaq.SaqCalaSaq|1331JurjiZaydan.AhmadIbnTulun|1377MuhammadCabdAllahDarraz.Din|1383CabbasMahmudCaqqad.AbuCala|1434CabdGhaffarMakkawi.Bakaiyyat,True,12,11,1399.8
OAI_10030933,0660IbnCadim.BughyatTalab,0.8,0377IbnAhmadFarisi.Baghdadiyyat|0381IbnBabawayhSaduq.KamalDin|0385Daraqutni.FawaidMuntaqatDhuhli|0600CabdGhaniMaqdisi.Kamal|0660IbnCadim.BughyatTalab|0843IbnKhatibNasiriyya.DurrMuntakhab|1377MuhammadCabdAllahDarraz.Din,True,7,6,1449.9
OAI_10030933,0660IbnCadim.BughyatTalab,0.85,0377IbnAhmadFarisi.Baghdadiyyat|0381IbnBabawayhSaduq.KamalDin|0600CabdGhaniMaqdisi.Kamal|0660IbnCadim.BughyatTalab|1377MuhammadCabdAllahDarraz.Din,True,5,4,1439.5
OAI_10030933,0660IbnCadim.BughyatTalab,0.9,0381IbnBabawayhSaduq.KamalDin|0600CabdGhaniMaqdisi.Kamal|1377MuhammadCabdAllahDarraz.Din,False,3,3,1476.3
